kabupaten,tahun,produktivitas,komoditas
BOGOR,2015,63.26,Padi
SUKABUMI,2015,57.84,Padi
CIANJUR,2015,59.41,Padi
BANDUNG,2015,59.5,Padi
GARUT,2015,60.79,Padi
TASIKMALAYA,2015,68.78,Padi
CIAMIS,2015,59.91,Padi
KUNINGAN,2015,60.65,Padi
CIREBON,2015,57.96,Padi
MAJALENGKA,2015,61.28,Padi
SUMEDANG,2015,59.09,Padi
INDRAMAYU,2015,65.62,Padi
SUBANG,2015,61.97,Padi
PURWAKARTA,2015,56.12,Padi
KARAWANG,2015,64.33,Padi
BEKASI,2015,53.96,Padi
BANDUNG BARAT,2015,57.31,Padi
PANGANDARAN,2015,55.41,Padi
BOGOR,2015,58.06,Padi
SUKABUMI,2015,65.66,Padi
BANDUNG,2015,63.71,Padi
CIREBON,2015,51.97,Padi
BEKASI,2015,57.01,Padi
DEPOK,2015,59.76,Padi
CIMAHI,2015,68.95,Padi
TASIKMALAYA,2015,54.58,Padi
BANJAR,2015,62.34,Padi
BOGOR,2016,63.33,Padi
SUKABUMI,2016,56.31,Padi
CIANJUR,2016,56.8,Padi
BANDUNG,2016,57.38,Padi
GARUT,2016,61.75,Padi
TASIKMALAYA,2016,61.36,Padi
CIAMIS,2016,62.05,Padi
KUNINGAN,2016,60.65,Padi
CIREBON,2016,60.36,Padi
MAJALENGKA,2016,64.41,Padi
SUMEDANG,2016,60.29,Padi
INDRAMAYU,2016,65.31,Padi
SUBANG,2016,61.84,Padi
PURWAKARTA,2016,53.44,Padi
KARAWANG,2016,61.02,Padi
BEKASI,2016,53.4,Padi
BANDUNG BARAT,2016,61.59,Padi
PANGANDARAN,2016,59.97,Padi
BOGOR,2016,59.73,Padi
SUKABUMI,2016,63.45,Padi
BANDUNG,2016,55.0,Padi
CIREBON,2016,59.29,Padi
BEKASI,2016,56.92,Padi
DEPOK,2016,59.11,Padi
CIMAHI,2016,55.95,Padi
TASIKMALAYA,2016,55.73,Padi
BANJAR,2016,62.12,Padi
BOGOR,2017,61.86,Padi
SUKABUMI,2017,56.4,Padi
CIANJUR,2017,56.13,Padi
BANDUNG,2017,58.74,Padi
GARUT,2017,64.33,Padi
TASIKMALAYA,2017,66.45,Padi
CIAMIS,2017,58.26,Padi
KUNINGAN,2017,62.79,Padi
CIREBON,2017,54.91,Padi
MAJALENGKA,2017,64.48,Padi
SUMEDANG,2017,58.92,Padi
INDRAMAYU,2017,53.12,Padi
SUBANG,2017,64.33,Padi
PURWAKARTA,2017,52.88,Padi
KARAWANG,2017,57.33,Padi
BEKASI,2017,47.35,Padi
BANDUNG BARAT,2017,60.24,Padi
PANGANDARAN,2017,56.16,Padi
BOGOR,2017,55.11,Padi
SUKABUMI,2017,58.04,Padi
BANDUNG,2017,58.47,Padi
CIREBON,2017,39.63,Padi
BEKASI,2017,56.01,Padi
DEPOK,2017,54.86,Padi
CIMAHI,2017,60.47,Padi
TASIKMALAYA,2017,54.0,Padi
BANJAR,2017,60.32,Padi
BOGOR,2018,56.15,Padi
SUKABUMI,2018,50.51,Padi
CIANJUR,2018,55.45,Padi
BANDUNG,2018,56.92,Padi
GARUT,2018,54.44,Padi
TASIKMALAYA,2018,57.3,Padi
CIAMIS,2018,57.02,Padi
KUNINGAN,2018,62.15,Padi
CIREBON,2018,54.0,Padi
MAJALENGKA,2018,60.75,Padi
SUMEDANG,2018,53.68,Padi
INDRAMAYU,2018,59.6,Padi
SUBANG,2018,57.33,Padi
PURWAKARTA,2018,54.42,Padi
KARAWANG,2018,56.81,Padi
BEKASI,2018,48.91,Padi
BANDUNG BARAT,2018,54.21,Padi
PANGANDARAN,2018,57.49,Padi
BOGOR,2018,49.16,Padi
SUKABUMI,2018,58.37,Padi
BANDUNG,2018,63.93,Padi
CIREBON,2018,51.21,Padi
BEKASI,2018,52.38,Padi
DEPOK,2018,52.03,Padi
CIMAHI,2018,54.29,Padi
TASIKMALAYA,2018,51.02,Padi
BANJAR,2018,56.02,Padi
BOGOR,2019,68.48,Padi
SUKABUMI,2019,61.07,Padi
CIANJUR,2019,66.52,Padi
BANDUNG,2019,73.62,Padi
GARUT,2019,69.04,Padi
TASIKMALAYA,2019,67.88,Padi
CIAMIS,2019,65.81,Padi
KUNINGAN,2019,65.99,Padi
CIREBON,2019,70.21,Padi
MAJALENGKA,2019,73.56,Padi
SUMEDANG,2019,65.18,Padi
INDRAMAYU,2019,77.01,Padi
SUBANG,2019,75.69,Padi
PURWAKARTA,2019,65.87,Padi
KARAWANG,2019,73.91,Padi
BEKASI,2019,68.09,Padi
BANDUNG BARAT,2019,66.59,Padi
PANGANDARAN,2019,71.02,Padi
BOGOR,2019,62.17,Padi
SUKABUMI,2019,76.83,Padi
BANDUNG,2019,74.21,Padi
CIREBON,2019,58.89,Padi
BEKASI,2019,68.77,Padi
DEPOK,2019,63.3,Padi
CIMAHI,2019,71.13,Padi
TASIKMALAYA,2019,61.92,Padi
BANJAR,2019,67.96,Padi
BOGOR,2020,52.89,Padi
SUKABUMI,2020,51.2,Padi
CIANJUR,2020,53.6,Padi
BANDUNG,2020,54.78,Padi
GARUT,2020,53.13,Padi
TASIKMALAYA,2020,58.67,Padi
CIAMIS,2020,53.48,Padi
KUNINGAN,2020,60.31,Padi
CIREBON,2020,57.9,Padi
MAJALENGKA,2020,57.59,Padi
SUMEDANG,2020,54.34,Padi
INDRAMAYU,2020,56.72,Padi
SUBANG,2020,56.39,Padi
PURWAKARTA,2020,52.71,Padi
KARAWANG,2020,58.37,Padi
BEKASI,2020,48.97,Padi
BANDUNG BARAT,2020,55.61,Padi
PANGANDARAN,2020,52.48,Padi
BOGOR,2020,46.47,Padi
SUKABUMI,2020,59.8,Padi
BANDUNG,2020,56.74,Padi
CIREBON,2020,46.49,Padi
BEKASI,2020,51.52,Padi
DEPOK,2020,58.32,Padi
CIMAHI,2020,54.07,Padi
TASIKMALAYA,2020,45.94,Padi
BANJAR,2020,55.49,Padi
